DISTRICT_ID,NAME,pop2021,total_people,pop_accuracy,total_households,num_buildings,buil_with_households,fill_rate
22,ΕΘΝΙΚΟ ΣΤΑΔΙΟ,527,1521,-88.61,578,376,376,100.0
23,ΓΗΡΟΚΟΜΕΙΟ - ΤΖΟΛΕΪΚΑ,4302,3827,88.96,1432,500,500,100.0
24,ΓΛΥΦΑΔΑ - ΠΑΝΑΧΑΪΚΗ,7704,6158,79.93,2391,783,783,100.0
25,ΓΟΥΒΑ,1747,1819,95.88,668,498,498,100.0
26,ΑΓ. ΓΕΩΡΓΙΟΣ ΛΑΓΓΟΥΡΑΣ,3022,2945,97.45,1121,374,374,100.0
27,ΙΤΙΕΣ - ΛΕΥΚΑ,4390,3868,88.11,1463,488,488,100.0
28,ΑΓ. ΙΩΑΝΝΗΣ ΠΡΑΤΣΙΚΑΣ,5824,5944,97.94,2225,1337,1337,100.0
29,ΚΑΤΩ ΣΥΧΑΙΝΑ,2820,2122,75.25,806,269,269,100.0
30,ΚΕΝΤΡΟ,5157,5202,99.13,1971,1371,1371,100.0
31,ΚΕΤΕΣ,1821,1824,99.84,701,626,626,100.0
32,ΚΟΤΡΩΝΙ,880,889,98.98,333,233,233,100.0
33,ΚΟΥΤΣΑΕΓΛΥΚΑΔΕΣ,2223,1871,84.17,712,239,239,100.0
34,ΚΡΥΑ-ΙΤΕΩΝ,1756,1729,98.46,651,217,217,100.0
35,ΛΑΓΓΟΥΡΑ,3420,3420,100.0,1314,528,528,100.0
36,ΜΕΜΟΥ,2173,2173,100.0,828,344,344,100.0
37,ΜΠΕΓΟΥΛΑΚΙ,2761,1926,69.76,736,246,246,100.0
38,ΜΠΟΖΑΪΤΙΚΑ,1219,1220,99.92,475,262,262,100.0
39,ΝΟΡΜΑΝ,6150,6150,100.0,2354,798,798,100.0
40,ΝΟΣΟΚΟΜΕΙΟ,3028,3063,98.84,1158,423,423,100.0
41,ΠΑΓΩΝΑ ΑΓ. ΠΑΡΑΣΚΕΥΗ,2885,2888,99.9,1134,608,608,100.0
42,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ,5566,5569,99.95,2131,1133,1133,100.0
43,ΠΡΟΑΣΤΕΙΟ,1765,1779,99.21,674,392,392,100.0
44,ΨΑΡΟΦΑΪ,6945,7012,99.04,2649,1283,1283,100.0
45,ΨΑΧΟΥ,4470,4471,99.98,1740,721,721,100.0
46,ΨΗΛΑ ΑΛΩΝΙΑ,6624,6625,99.98,2555,1028,1028,100.0
47,ΔΙΑΚΟΥ ΣΑΜΑΚΙΑ,1422,1435,99.09,544,264,264,100.0
48,ΣΚΑΓΙΟΠΟΥΛΕΙΟ,6515,6517,99.97,2495,1018,1018,100.0
49,ΤΑΣΙ,2192,2193,99.95,858,557,557,100.0
50,ΤΕΙ,1848,1854,99.68,707,402,402,100.0
51,ΤΡΙΑΝΤΕΙΟΣ,3066,3088,99.28,1172,616,616,100.0
52,ΤΡΙΩΝ ΝΑΥΑΡΧΩΝ,5528,5528,100.0,2133,734,734,100.0
53,ΖΑΒΛΑΝΙ,3680,3682,99.95,1402,695,695,100.0
54,ΖΑΡΟΥΧΛΕΪΚΑ,8634,8661,99.69,3300,2136,2136,100.0
