,,,Και των δύο φύλων ,,,,,,,,,,,,,,,,,Άρρενες,,,,,,,,,,,,,,,,,Θήλεις,,,,,,,,,,,,,,,,
level,location_id,name,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
7,24237010203,Δημοτική Κοινότητα Καμινίων,704,37,29,39,37,34,38,30,42,64,57,58,40,32,53,44,54,339,23,17,21,21,20,19,9,20,33,25,23,25,13,25,24,25,362,11,14,21,17,18,23,24,25,33,34,32,18,16,31,18,32
8,2423701020301,"Καμίνια,τα",704,37,29,39,37,34,38,30,42,64,57,58,40,32,53,44,54,339,23,17,21,21,20,19,9,20,33,25,23,25,13,25,24,25,362,11,14,21,17,18,23,24,25,33,34,32,18,16,31,18,32
7,24237010204,Δημοτική Κοινότητα Μονοδενδρίου,572,25,32,36,31,23,29,24,32,29,34,54,58,49,31,39,51,282,18,15,17,12,16,16,16,13,15,19,27,27,22,17,21,17,288,9,13,21,17,9,15,6,17,15,17,30,27,25,11,22,37
8,2423701020401,"Μονοδένδριον,το",572,25,32,36,31,23,29,24,32,29,34,54,58,49,31,39,51,282,18,15,17,12,16,16,16,13,15,19,27,27,22,17,21,17,288,9,13,21,17,9,15,6,17,15,17,30,27,25,11,22,37
7,24237010205,Δημοτική Κοινότητα Τσουκαλαιίκων,494,23,18,31,22,28,19,28,20,37,39,36,37,37,32,31,53,245,9,13,20,11,21,8,15,14,17,23,14,11,18,18,17,19,247,17,8,13,8,9,10,11,10,17,19,19,23,21,12,16,32
8,2423701020501,"Τσουκαλαίικα,τα",494,23,18,31,22,28,19,28,20,37,39,36,37,37,32,31,53,245,9,13,20,11,21,8,15,14,17,23,14,11,18,18,17,19,247,17,8,13,8,9,10,11,10,17,19,19,23,21,12,16,32
6,242370103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΕΣΣΑΤΙΔΟΣ,14365,701,905,1069,894,731,694,760,1031,1312,1140,1110,888,853,707,626,946,7179,368,462,544,454,385,354,386,503,635,563,552,434,431,341,326,439,7184,335,444,522,438,344,338,376,531,680,575,560,452,424,363,298,506
7,24237010301,Δημοτική Κοινότητα Οβριάς,6426,339,429,457,404,320,321,372,459,611,499,478,384,377,300,269,408,3202,171,227,225,202,175,162,196,225,288,243,230,193,186,139,141,192,3226,165,204,229,199,149,157,175,236,325,258,245,189,194,164,124,218
8,2423701030101,"Οβριά,η",6426,339,429,457,404,320,321,372,459,611,499,478,384,377,300,269,408,3202,171,227,225,202,175,162,196,225,288,243,230,193,186,139,141,192,3226,165,204,229,199,149,157,175,236,325,258,245,189,194,164,124,218
7,24237010302,Δημοτική Κοινότητα Θέας,538,15,36,45,30,33,19,21,29,51,44,48,37,42,25,24,47,263,5,14,22,22,16,6,15,13,30,19,21,17,26,13,10,20,277,8,20,26,10,20,10,9,18,23,22,29,22,13,14,12,24
8,2423701030201,"Θέα,η",442,15,29,41,24,21,9,14,22,46,34,40,29,35,20,19,41,212,5,14,18,17,14,6,8,8,28,16,17,14,24,11,5,18,227,8,17,26,3,11,5,8,17,21,21,26,13,9,12,12,20
8,2423701030202,"Λυγιαί,αι",51,0,3,0,4,9,5,0,0,4,3,7,5,3,0,3,4,22,0,3,0,3,6,3,0,0,0,4,4,3,0,0,3,0,26,0,0,0,4,5,0,0,0,4,0,5,4,3,0,0,0
8,2423701030203,"Παυλόκαστρον,το",51,0,5,3,0,3,0,5,4,0,8,4,4,4,3,0,3,29,0,3,0,0,0,0,4,3,0,4,4,0,0,0,0,3,25,0,5,3,0,3,0,4,3,3,0,0,0,0,0,0,0
7,24237010303,Δημοτική Κοινότητα Καλλιθέας,885,41,35,76,64,52,36,42,69,77,73,64,45,50,51,43,67,454,23,20,48,30,25,22,16,35,38,39,37,18,21,27,21,29,429,15,18,30,31,24,17,24,36,41,32,29,24,31,21,19,35
8,2423701030301,"Καλλιθέα,η",781,40,28,68,48,48,34,42,65,66,63,54,39,45,44,37,57,401,22,13,39,26,23,18,16,32,30,36,32,19,15,25,20,31,378,15,18,26,20,28,14,24,35,33,29,24,22,27,16,19,30
8,2423701030302,"Άνω Καλλιθέα,η",102,4,4,5,13,0,4,0,6,8,7,14,4,7,9,3,13,56,3,4,6,7,0,3,0,0,5,5,3,0,4,4,3,3,48,3,0,0,9,0,0,0,3,5,0,8,5,0,7,0,7
7,24237010304,Δημοτική Κοινότητα Κρήνης Πατρών,1347,59,74,94,78,74,71,70,91,103,92,110,102,103,81,61,83,676,34,34,45,35,40,38,36,47,49,43,53,49,51,39,35,41,668,27,36,52,40,32,31,32,41,57,48,54,51,49,40,24,44
8,2423701030401,"Κρήνη,η",972,51,55,61,57,48,51,53,69,78,65,77,72,80,57,45,63,488,30,25,24,26,24,29,28,36,40,30,36,36,40,32,27,28,486,17,26,39,28,22,24,27,31,40,37,39,38,37,27,22,32
8,2423701030402,"Άγιος Κωνσταντίνος,ο",364,11,21,31,24,23,18,15,22,26,26,30,27,25,22,13,25,182,0,12,18,12,14,11,11,11,9,15,15,10,12,9,5,13,185,7,6,16,10,13,9,7,8,20,13,12,15,15,16,6,15
8,2423701030403,"Μονή Ομπλού,η",6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237010305,Δημοτική Κοινότητα Κρυσταλλόβρυσης,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8,2423701030501,"Κρυσταλλόβρυση,η",14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,24237010306,Δημοτική Κοινότητα Πετρωτού,543,32,44,44,32,38,28,18,35,53,46,41,32,19,27,19,30,277,17,26,26,15,16,9,9,18,23,25,21,17,9,14,10,17,264,11,21,20,14,19,16,5,20,28,18,17,16,12,15,12,16
8,2423701030601,"Μαυρομανδήλα,η",500,32,38,39,31,32,28,20,34,53,42,37,30,19,26,21,28,262,17,19,25,14,16,9,12,16,23,26,18,17,9,12,12,16,241,11,16,17,14,13,17,5,21,27,19,17,15,12,12,12,14
8,2423701030602,"Αγία Παρασκευή,η",6,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8,2423701030603,"Πετρωτόν,το",32,0,4,0,0,3,0,0,3,3,4,0,0,0,4,0,0,17,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3,17,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,0
7,24237010307,Δημοτική Κοινότητα Σαραβαλίου,4621,213,287,350,288,219,221,237,342,418,389,371,286,266,221,212,303,2301,110,144,186,142,118,114,111,165,208,192,185,142,135,107,108,137,2317,100,142,167,143,99,109,129,179,213,195,183,147,128,112,105,169
8,2423701030701,"Σαραβάλιον,το",749,32,45,42,44,34,32,32,60,66,49,56,60,50,49,28,62,384,17,23,20,26,19,19,12,23,37,29,29,36,23,35,15,25,361,12,19,25,17,12,11,18,35,31,17,29,27,30,17,15,36
8,2423701030702,"Άγιος Στέφανος,ο",544,26,34,50,28,22,21,25,38,41,44,41,33,41,29,15,58,261,12,11,28,18,8,4,12,18,19,26,19,12,22,17,5,21,286,12,19,20,12,12,13,16,22,20,16,19,18,23,10,7,35
8,2423701030703,"Δεμένικα,τα",2844,133,175,221,194,143,141,154,216,272,250,243,162,144,116,131,154,1413,65,92,120,95,77,74,77,107,131,115,116,82,82,45,62,76,1432,64,85,99,102,69,65,79,111,139,138,124,77,60,68,66,76
8,2423701030704,"Κεφαλόβρυσον,το",330,13,21,24,9,14,19,12,14,33,29,23,25,18,26,26,23,168,6,11,7,6,8,13,7,8,19,14,14,8,6,10,17,11,160,9,8,14,5,8,9,7,3,12,13,6,13,9,14,11,10
8,2423701030705,"Μπάκαρι,το",149,9,8,14,7,6,3,8,20,6,17,4,13,13,3,13,9,74,3,6,12,3,5,4,3,9,3,8,0,4,3,0,9,5,77,4,4,5,9,3,0,8,8,6,6,5,6,8,3,3,3
6,242370104,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΑΛΙΑΣ,8904,396,495,622,519,414,399,472,634,650,726,683,641,585,530,428,702,4328,192,262,331,259,190,200,243,312,301,356,328,284,279,272,202,316,4573,205,236,294,262,227,201,226,319,350,373,352,355,304,260,228,389
7,24237010401,Δημοτική Κοινότητα Παραλίας,5376,243,282,381,308,232,264,310,392,403,428,389,387,388,334,233,400,2620,116,154,200,146,99,131,157,195,195,212,194,163,186,177,102,184,2758,130,131,179,159,131,131,149,194,210,219,198,222,198,154,134,218
8,2423701040101,"Παραλία,η",5376,243,282,381,308,232,264,310,392,403,428,389,387,388,334,233,400,2620,116,154,200,146,99,131,157,195,195,212,194,163,186,177,102,184,2758,130,131,179,159,131,131,149,194,210,219,198,222,198,154,134,218
7,24237010402,Δημοτική Κοινότητα Μιντιλογλίου,2330,109,147,159,142,122,96,121,170,162,200,178,146,135,136,130,179,1122,54,74,80,74,55,48,59,87,73,99,85,67,62,64,69,75,1210,53,70,76,70,65,51,59,86,87,97,95,83,76,75,65,107
8,2423701040201,"Μιντιλόγλιον,το",2104,100,133,143,120,105,86,104,156,156,178,161,133,118,126,115,170,1017,51,73,74,65,51,42,52,74,69,94,76,56,57,58,64,66,1089,47,63,72,58,57,42,50,80,90,81,83,75,64,66,54,101
8,2423701040202,"Χαντζηλιάκον,το",228,6,12,13,23,15,8,14,17,3,18,20,10,19,13,12,12,108,0,4,9,12,7,3,5,10,7,8,7,8,8,3,8,6,123,9,5,7,14,10,7,7,9,0,13,10,5,14,7,7,4
7,24237010403,Δημοτική Κοινότητα Ρογιτίκων,1193,44,65,87,69,60,39,41,73,84,105,111,107,62,60,65,123,586,23,34,51,39,31,21,27,31,33,45,49,54,30,31,32,57,605,23,35,39,32,32,20,13,39,48,57,59,51,34,32,35,64
8,2423701040301,"Ρογίτικα,τα",1193,44,65,87,69,60,39,41,73,84,105,111,107,62,60,65,123,586,23,34,51,39,31,21,27,31,33,45,49,54,30,31,32,57,605,23,35,39,32,32,20,13,39,48,57,59,51,34,32,35,64
6,242370105,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΡΙΟΥ,14218,478,672,884,1016,1037,682,564,780,1063,1043,1132,981,941,847,825,1272,7014,247,364,480,524,489,351,275,359,502,512,542,465,463,421,403,625,7206,234,310,402,494,546,333,288,419,563,528,592,519,480,429,424,649
7,24237010501,Δημοτική Κοινότητα Ρίου,5429,182,235,298,477,575,317,237,279,385,390,396,326,310,290,278,454,2645,93,140,165,237,259,176,114,133,182,196,185,147,147,136,119,212,2786,85,91,129,243,312,145,126,148,200,191,214,183,165,150,161,245
8,2423701050101,"Ρίον,το",5429,182,235,298,477,575,317,237,279,385,390,396,326,310,290,278,454,2645,93,140,165,237,259,176,114,133,182,196,185,147,147,136,119,212,2786,85,91,129,243,312,145,126,148,200,191,214,183,165,150,161,245
7,24237010502,Δημοτική Κοινότητα Αγίου Βασιλείου,2888,115,145,184,182,141,122,120,167,225,212,252,217,222,177,181,233,1408,53,73,105,89,65,52,57,70,104,95,118,104,107,92,84,131,1483,59,69,82,89,80,67,61,94,124,115,137,110,117,82,95,104
8,2423701050201,"Άγιος Βασίλειος,ο",2888,115,145,184,182,141,122,120,167,225,212,252,217,222,177,181,233,1408,53,73,105,89,65,52,57,70,104,95,118,104,107,92,84,131,1483,59,69,82,89,80,67,61,94,124,115,137,110,117,82,95,104
7,24237010503,Δημοτική Κοινότητα Ακταίου,1449,59,77,104,95,77,63,50,80,119,127,132,98,91,94,74,111,718,26,40,59,52,33,32,25,38,60,58,71,46,45,45,40,50,733,31,35,43,40,40,28,27,45,57,65,63,55,49,51,37,62
8,2423701050301,"Ακταίο,το",1449,59,77,104,95,77,63,50,80,119,127,132,98,91,94,74,111,718,26,40,59,52,33,32,25,38,60,58,71,46,45,45,40,50,733,31,35,43,40,40,28,27,45,57,65,63,55,49,51,37,62
7,24237010504,Δημοτική Κοινότητα Άνω Καστριτσίου,743,21,29,49,39,32,36,19,53,54,55,74,52,58,38,46,87,380,12,15,30,16,16,20,10,27,29,25,34,25,39,18,21,46,360,11,17,22,21,14,14,12,29,27,27,38,23,22,21,22,43
8,2423701050401,"Άνω Καστρίτσιον,το",743,21,29,49,39,32,36,19,53,54,55,74,52,58,38,46,87,380,12,15,30,16,16,20,10,27,29,25,34,25,39,18,21,46,360,11,17,22,21,14,14,12,29,27,27,38,23,22,21,22,43
7,24237010505,Δημοτική Κοινότητα Αραχοβιτίκων,744,26,45,42,46,40,29,28,35,55,53,56,67,47,52,48,75,361,19,19,18,27,20,17,19,11,29,22,26,28,22,29,25,39,385,10,29,22,21,22,15,11,20,25,28,32,41,28,25,20,39
8,2423701050501,"Αραχοβίτικα,τα",393,14,27,27,23,21,12,17,19,36,29,30,39,25,22,16,39,205,11,15,15,15,13,5,11,8,20,12,17,18,13,11,9,15,192,6,14,10,6,10,5,4,9,17,14,11,18,14,14,4,27
8,2423701050502,"Κάτω Αραχοβίτικα,τα",347,15,16,18,25,22,15,13,18,18,22,28,30,24,26,30,34,159,5,3,6,10,5,9,5,7,11,13,12,12,11,16,14,21,191,7,12,15,13,14,8,4,14,9,11,19,21,11,13,13,15
7,24237010506,Δημοτική Κοινότητα Αργυράς,212,6,8,5,10,15,6,8,11,9,18,13,21,13,15,14,35,112,3,3,4,5,9,0,0,10,5,11,7,12,13,3,13,23,98,7,7,4,3,3,4,5,3,3,10,3,11,4,10,3,10
8,2423701050601,"Αργυρά,η",212,6,8,5,10,15,6,8,11,9,18,13,21,13,15,14,35,112,3,3,4,5,9,0,0,10,5,11,7,12,13,3,13,23,98,7,7,4,3,3,4,5,3,3,10,3,11,4,10,3,10
7,24237010507,Δημοτική Κοινότητα Δρεπάνου,450,18,22,34,29,21,9,22,27,40,27,38,30,29,32,27,45,240,11,8,19,20,13,5,10,15,12,12,23,13,8,19,13,25,213,5,11,18,13,5,6,13,9,25,13,12,15,19,11,17,22
8,2423701050701,"Δρέπανον,το",450,18,22,34,29,21,9,22,27,40,27,38,30,29,32,27,45,240,11,8,19,20,13,5,10,15,12,12,23,13,8,19,13,25,213,5,11,18,13,5,6,13,9,25,13,12,15,19,11,17,22
7,24237010508,Δημοτική Κοινότητα Κάτω Καστριτσίου,798,8,37,43,55,51,55,30,37,49,50,65,72,68,46,63,72,390,6,20,20,30,25,27,18,17,25,25,25,33,31,27,37,30,410,4,14,20,27,29,25,9,22,27,26,36,37,40,22,24,45
8,2423701050801,"Κάτω Καστρίτσιον,το",542,8,25,35,38,36,34,16,17,36,34,46,48,45,35,38,51,277,6,16,14,20,15,21,14,5,19,17,20,18,24,18,25,22,269,4,11,17,14,18,16,5,9,20,19,23,28,18,20,15,27
8,2423701050802,"Μαγούλα,η",253,0,10,10,21,19,18,11,17,11,18,22,22,21,8,23,23,110,0,6,3,8,12,9,7,10,4,6,3,13,5,6,15,6,140,0,6,5,10,9,7,7,11,9,9,17,5,19,5,10,15
7,24237010509,Δημοτική Κοινότητα Πιτίτσης,18,0,0,0,0,0,0,3,0,0,0,3,3,3,0,3,3,9,0,0,0,0,0,0,3,0,0,0,3,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
8,2423701050901,"Πιτίτσα,η",18,0,0,0,0,0,0,3,0,0,0,3,3,3,0,3,3,9,0,0,0,0,0,0,3,0,0,0,3,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
7,24237010510,Δημοτική Κοινότητα Πλατανίου,458,13,26,36,31,29,10,10,36,43,30,40,29,17,31,29,38,232,9,12,26,18,17,4,6,17,17,14,20,21,5,16,14,15,228,7,17,13,15,10,4,7,22,24,18,22,12,9,13,12,20
8,2423701051001,"Πλατάνιον,το",458,13,26,36,31,29,10,10,36,43,30,40,29,17,31,29,38,232,9,12,26,18,17,4,6,17,17,14,20,21,5,16,14,15,228,7,17,13,15,10,4,7,22,24,18,22,12,9,13,12,20
7,24237010511,Δημοτική Κοινότητα Σελλών,270,6,14,21,16,6,5,6,8,29,17,11,19,15,27,26,38,142,6,9,12,5,0,4,4,6,16,10,6,7,10,14,14,21,126,3,3,10,8,5,3,4,4,16,5,3,10,6,15,8,15
8,2423701051101,"Σελλά,τα",270,6,14,21,16,6,5,6,8,29,17,11,19,15,27,26,38,142,6,9,12,5,0,4,4,6,16,10,6,7,10,14,14,21,126,3,3,10,8,5,3,4,4,16,5,3,10,6,15,8,15
7,24237010512,Δημοτική Κοινότητα Ψαθοπύργου,752,24,40,56,35,44,28,35,41,53,67,57,56,66,47,33,78,375,10,25,24,19,22,13,22,19,25,35,28,29,38,25,18,33,375,10,13,35,13,20,18,16,19,32,29,27,24,25,26,18,42
8,2423701051201,"Ψαθόπυργος,ο",639,20,33,45,28,38,26,29,33,48,63,44,46,48,40,28,62,316,10,23,19,17,21,10,18,18,18,35,26,23,29,24,11,25,326,12,12,28,13,19,19,9,19,27,31,21,26,17,18,14,41
